trainingfitness
topologies, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
VonNeumannTopology2, 1.600e+01, 1.600e+01, 3.089e+00, 1.600e+01, 1.600e+01, 1.600e+01, 9.436e+00, 1.600e+01, 4.089e+00, 4.820e+00, 1.221e+00, 1.370e+00, 2.522e+00, 3.799e+00, 2.625e+00,
RandomStaticTopology4, 1.600e+01, 1.600e+01, 2.650e+00, 1.600e+01, 1.600e+01, 1.600e+01, 1.066e+01, 1.600e+01, 3.484e+00, 4.237e+00, 1.457e+00, 1.249e+00, 2.280e+00, 3.225e+00, 1.471e+00,
VonNeumannTopology4, 1.600e+01, 1.600e+01, 3.256e+00, 1.600e+01, 1.600e+01, 1.600e+01, 1.263e+01, 1.600e+01, 4.234e+00, 5.599e+00, 2.022e+00, 1.617e+00, 2.562e+00, 4.517e+00, 2.598e+00,
TreeTopology2, 1.600e+01, 1.600e+01, 2.282e+00, 1.600e+01, 1.600e+01, 1.600e+01, 5.703e+00, 5.229e+00, 3.114e+00, 3.767e+00, 7.516e-01, 7.252e-01, 2.101e+00, 2.371e+00, 1.584e+00,
RandomStaticTopology2, 1.600e+01, 1.600e+01, 2.716e+00, 1.600e+01, 1.600e+01, 1.600e+01, 8.045e+00, 6.189e+00, 3.464e+00, 4.601e+00, 1.514e+00, 1.247e+00, 1.949e+00, 3.663e+00, 1.658e+00,
TreeTopology4, 1.600e+01, 1.600e+01, 2.282e+00, 1.600e+01, 1.600e+01, 1.600e+01, 5.703e+00, 5.229e+00, 3.114e+00, 3.767e+00, 7.516e-01, 7.252e-01, 2.101e+00, 2.371e+00, 1.584e+00,
fullfitness
topologies, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
VonNeumannTopology2, 1.600e+01, 1.600e+01, 3.031e+00, 1.600e+01, 1.595e+01, 1.600e+01, 9.446e+00, 1.600e+01, 3.606e+00, 4.825e+00, 1.240e+00, 9.081e-01, 1.929e+00, 3.476e+00, 2.731e+00,
RandomStaticTopology4, 1.565e+01, 1.600e+01, 2.631e+00, 1.600e+01, 1.535e+01, 1.600e+01, 1.067e+01, 1.595e+01, 2.759e+00, 4.187e+00, 6.636e-01, 6.568e-01, 1.936e+00, 2.920e+00, 3.948e-01,
VonNeumannTopology4, 1.600e+01, 1.600e+01, 3.011e+00, 1.600e+01, 1.565e+01, 1.600e+01, 1.266e+01, 1.600e+01, 3.651e+00, 5.422e+00, 1.284e+00, 1.516e+00, 2.102e+00, 4.213e+00, 2.594e+00,
TreeTopology2, 1.600e+01, 1.595e+01, 2.112e+00, 1.600e+01, 1.600e+01, 1.600e+01, 5.765e+00, 5.316e+00, 2.859e+00, 3.745e+00, 5.539e-01, 7.886e-01, 1.796e+00, 1.023e+00, 3.828e-01,
RandomStaticTopology2, 1.600e+01, 1.600e+01, 2.578e+00, 1.595e+01, 1.595e+01, 1.600e+01, 8.070e+00, 6.147e+00, 3.393e+00, 4.572e+00, 9.358e-01, 5.478e-01, 1.722e+00, 3.448e+00, 3.859e-01,
TreeTopology4, 1.600e+01, 1.595e+01, 2.112e+00, 1.600e+01, 1.600e+01, 1.600e+01, 5.765e+00, 5.316e+00, 2.859e+00, 3.745e+00, 5.539e-01, 7.886e-01, 1.796e+00, 1.023e+00, 3.828e-01,
meantrainingfitness
topologies, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
VonNeumannTopology2, 3.699e+00, 6.283e+00, 3.066e+00, 7.460e+00, 1.537e+01, 2.704e+00, 7.125e+00, 9.608e+00, 4.028e+00, 4.805e+00, 7.676e-01, 1.351e+00, 2.351e+00, 3.705e+00, 1.590e+00,
RandomStaticTopology4, 4.034e+00, 1.892e+00, 2.491e+00, 1.192e+01, 1.278e+01, 8.281e+00, 7.136e+00, 1.478e+01, 3.170e+00, 2.683e+00, 1.416e+00, 1.004e+00, 2.232e+00, 2.974e+00, 1.280e+00,
VonNeumannTopology4, 4.363e+00, 2.625e+00, 3.207e+00, 1.210e+01, 1.438e+01, 1.013e+01, 1.161e+01, 3.075e+00, 4.162e+00, 5.305e+00, 1.834e+00, 1.362e+00, 2.529e+00, 4.420e+00, 2.563e+00,
TreeTopology2, 9.869e+00, 2.646e+00, 2.054e+00, 2.596e+00, 2.374e+00, 3.439e+00, 4.767e+00, 4.549e+00, 3.080e+00, 3.512e+00, 6.957e-01, 6.895e-01, 2.048e+00, 2.298e+00, 1.550e+00,
RandomStaticTopology2, 4.356e+00, 2.572e+00, 2.695e+00, 3.448e+00, 7.958e+00, 5.498e+00, 7.465e+00, 6.135e+00, 3.255e+00, 4.246e+00, 1.448e+00, 1.168e+00, 1.817e+00, 3.488e+00, 1.646e+00,
TreeTopology4, 9.869e+00, 2.646e+00, 2.054e+00, 2.596e+00, 2.374e+00, 3.439e+00, 4.767e+00, 4.549e+00, 3.080e+00, 3.512e+00, 6.957e-01, 6.895e-01, 2.048e+00, 2.298e+00, 1.550e+00,
meanfullfitness
topologies, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
VonNeumannTopology2, 3.746e+00, 4.192e+00, 3.009e+00, 7.613e+00, 1.537e+01, 2.736e+00, 7.138e+00, 9.681e+00, 3.520e+00, 4.811e+00, 6.735e-01, 7.598e-01, 1.988e+00, 3.404e+00, 1.792e+00,
RandomStaticTopology4, 4.134e+00, 1.939e+00, 2.388e+00, 1.206e+01, 1.281e+01, 8.319e+00, 7.155e+00, 1.486e+01, 2.531e+00, 2.638e+00, 6.532e-01, 5.774e-01, 1.922e+00, 2.787e+00, 3.809e-01,
VonNeumannTopology4, 4.404e+00, 2.631e+00, 2.904e+00, 1.223e+01, 1.440e+01, 1.020e+01, 1.160e+01, 3.126e+00, 3.607e+00, 5.159e+00, 1.509e+00, 1.258e+00, 2.084e+00, 4.306e+00, 2.540e+00,
TreeTopology2, 9.971e+00, 2.539e+00, 1.902e+00, 2.648e+00, 2.409e+00, 3.472e+00, 4.795e+00, 4.524e+00, 2.851e+00, 3.480e+00, 4.563e-01, 5.632e-01, 1.761e+00, 1.017e+00, 3.870e-01,
RandomStaticTopology2, 4.423e+00, 2.534e+00, 2.561e+00, 3.555e+00, 7.971e+00, 5.557e+00, 7.496e+00, 6.100e+00, 3.019e+00, 4.214e+00, 9.211e-01, 5.925e-01, 1.686e+00, 3.312e+00, 3.884e-01,
TreeTopology4, 9.971e+00, 2.539e+00, 1.902e+00, 2.648e+00, 2.409e+00, 3.472e+00, 4.795e+00, 4.524e+00, 2.851e+00, 3.480e+00, 4.563e-01, 5.632e-01, 1.761e+00, 1.017e+00, 3.870e-01,
