trainingfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
PassThroughOptimizer,0,0.09602620144977891,0.004314938617725361,0.0,0.0,0,1.0474005462945968e-07,1.2827779538593376e-06,0.0012806808071946785,5.345037616644177e-05,0.053921868200905276,0.09602620144977891,0.018802281024235423,0.0142184334232891,0.01918048070219125,
DE,0,0.025590304140382325,0.020313791768234668,0.0,0.0,0.0,1.4932195713246443e-07,3.1831265837611866e-06,0.0010003243921642424,0.0007689631043207301,0.0692285842140693,0.0950734399362907,0.014713256900034333,0.025590304140382325,0.004080516176450999,
PSO,0.0,0.040318107177579665,0.002366082290550686,0.0,0.0,0.0,1.566018118515089e-07,2.14906080264754e-06,0.00032798047409832165,0.0009652655841753122,0.040318107177579665,0.04511820611570039,0.0029313862456614714,0.020583506854500055,0.002629359382620322,
ABC,0,0.012429732540143013,0.0071133751087356645,0.0,0.0,0.0,2.6653790285990908e-11,1.973271052813086e-05,0.0003988789235712664,0.00031866405414371357,0.12545421204097806,0.11123962646053576,0.004065019287183502,0.012429732540143013,0.007309326840467922,
fullfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
PassThroughOptimizer,0,0.22970166194797936,0.007851794625349795,0.0,2.220446049250313e-16,0,8.960362873899896e-08,1.3881840303930915e-06,0.0019014665352223847,5.596470249502605e-05,0.25579821151430826,0.22970166194797936,0.029683863165186564,0.05998997746758272,0.37673261239558287,
DE,0.0,0.09335742575154604,1,0.0,0,0.0,1.39382445918379e-07,2.5301535215849214e-06,0.001953944615220471,0.0010020648080310002,0.3042533483227188,1,0.055664187222721595,0.09335742575154604,0.3714243094969919,
PSO,0.0,1,0.0025542633426870465,0.0,2.220446049250313e-16,0,1.363303139267913e-07,1.7022778940889438e-06,0.0011178153653577105,0.006055905217790758,1,0.18238687204746984,1,0.11246936116943917,0.509662713481944,
ABC,0.0,0.30067811095520147,0.007559547151535617,0.0,1.1102230246251565e-16,0.0,2.6051161228224373e-11,3.0100040877334422e-05,0.0013104277079643012,0.0003442481982413037,0.9955729023557535,0.2304526281900956,0.008207943391817407,0.30067811095520147,0.17340358758158203,
meantrainingfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
PassThroughOptimizer,0.000701794555586,0.10218878797,0.00452971979318,0.000109319372348,8.69079617649e-07,1.53391151114e-08,2.56077337327e-05,3.15727348368e-06,0.00204007018806,0.000915792378539,0.0552865074855,0.10218878797,0.0213388768694,0.0501058134599,0.0196575654305,
DE,3.320523452e-06,0.032197583675,0.0215843325684,2.51668352824e-10,8.82589050732e-09,3.79696274422e-15,4.41984223976e-07,3.63018358489e-06,0.0011194052944,0.000805888240485,0.0729867938258,0.103191102891,0.0183953563502,0.032197583675,0.00410265637709,
PSO,1.55653268052e-14,0.0706537551372,0.00438001498151,0.00051441074304,2.13778807645e-06,6.66577903985e-14,2.07598602175e-07,1.22633022629e-05,0.00264575179014,0.00123117435188,0.0706537551372,0.0676635648632,0.00306525197132,0.0237717649237,0.00266267686965,
ABC,0.002098491477,0.0144552783479,0.00728754446719,0.00125493179536,1.22124532709e-14,7.17804262695e-09,0.000106961992831,1.98315708964e-05,0.000748838733813,0.00139215476565,0.125621212836,0.114286187148,0.00407849146069,0.0144552783479,0.0105050193738,
meanfullfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
PassThroughOptimizer,0.000620704586083,0.228521311236,0.00762303829411,0.000104493523625,8.47092136036e-07,1.42340216724e-08,2.31727530595e-05,3.18814114992e-06,0.0027539420648,0.000979537242869,0.258488423425,0.228521311236,0.0312750152247,0.102770033328,0.378300721261,
DE,3.07382237261e-06,0.0906039930981,0.628745639843,2.06893013832e-10,8.87604063582e-09,3.5527136788e-15,3.89732067085e-07,2.88909956681e-06,0.00200231556432,0.00106421498783,0.294906027574,0.689759419893,0.0705180153178,0.0906039930981,0.371286811325,
PSO,1.33670852165e-14,1.0,0.00533740299525,0.00258287237179,2.10185978593e-06,5.52446977053e-14,1.83153925581e-07,1.80820999637e-05,0.00420577349686,0.00232614523917,1.0,0.198755116776,1.0,0.100512982281,0.510937244789,
ABC,0.00195634236752,0.380572294576,0.00771079886836,0.00100106941963,1.1901590824e-14,6.28612226716e-09,0.000103477178968,3.03083547667e-05,0.00175851231682,0.00163892138605,0.996192000012,0.233133553166,0.00825254590502,0.380572294576,0.199922069684,
