trainingfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
PSO,0.0,0.01678204119444171,0.0025099645798185577,0.0,0.0,0.0,-5.5074800942023217e-08,7.917659258627197e-05,0.0009903777778528244,-0.0007894382076724105,-0.011365061358977191,0.07815189235217868,0.02776229638543204,-0.011665395495761954,0.02201012266642266,
ABC,0.0,-0.10651275305077423,-0.0024316609080867746,0.0,0.0,0.0,1.2014185890585338e-07,-0.0004368681920783324,0.0006137624960443899,-0.0015327721911044812,-0.03788034600687018,0.022233819905881913,0.026416996137065496,-0.015364171881939948,0.0034713331651697876,
DE,0.0,-0.007438906196026607,-0.03537619750327892,0.0,0.0,0.0,-4.268225494152844e-07,9.067880059121514e-05,0.00022659829468207882,-0.0006743494166889796,-0.00481154139943285,0.040773072676293376,0.01579153241452702,-0.007438906196026607,0.01195626194565036,
fullfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
PSO,0.0,-0.4513743237152916,0.0058095081942958204,0.0,0.0,0.00014253430564037384,-4.674191989018084e-08,8.270275109323322e-05,0.0008857413269319769,-0.005868736003854735,-0.7203123599795318,0.08894302977101987,0.026746894056270842,-0.02646383017894105,-0.13897729454544416,
ABC,0.0,-0.17559810549497878,0.0006876649179532457,0.0,1.1102230246251565e-16,0.00014253430564037384,1.1001609268035395e-07,-0.000444656347427963,0.0008557747643558322,-0.0017571358392578507,-0.7165678978112229,0.04280548373170212,0.028894666401460878,-0.013578175451682606,-0.18473229253067225,
DE,0.0,-0.025914841807330502,-0.051447121655340156,0.0,2.220446049250313e-16,0.00014253430564037384,-3.8287127135383514e-07,0.00010218468786138413,6.210999779665549e-05,-0.0009220163660825786,-0.0292943421672045,-0.7173451085597218,-0.042682178509171775,-0.025914841807330502,0.001787518376672237,
meantrainingfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
PSO,0.011949959411,0.0569595087973,-0.00211502243042,-0.000175295710554,0.00206869954355,6.65987043951e-06,4.3712289663e-05,0.000139577570047,0.00124516729623,-0.00133055387245,-0.0555273218001,0.0762896637576,0.0269734423132,0.032468937609,0.0196617635322,
ABC,0.00856477508291,-0.0965849819409,-0.00129578536079,0.00201898920255,0.00206883109804,1.87819147663e-05,3.43886743208e-06,-0.00067954410512,-0.00234129276903,-0.00159538425878,-0.0403998282705,0.00553663257476,0.0260993977165,0.00258101185059,-0.00728519030795,
DE,0.0119499312518,0.0372766297588,-0.0361000352692,0.00186552475443,0.00206834339716,1.90082133714e-05,5.50786319033e-05,0.000145211087751,0.000299990937239,-0.000843888019377,-0.00933284581098,0.0423468068018,0.012094783818,0.0372766297588,0.0119061442028,
meanfullfitness
algorithm, 0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,
PSO,0.0100349163448,-0.343020076967,0.00104409316779,-0.000296894785937,0.00205804105513,3.4371103003e-05,-6.06703837525e-05,0.000140575621288,0.00114989468582,-0.00246403684277,-0.550024419704,0.0689483539515,-0.171873162978,0.0407253966789,-0.0819163189525,
ABC,0.00707405736852,-0.146056308002,0.00214996723682,0.00191984738185,0.00205816958583,4.58485663418e-05,8.22132678595e-06,-0.000675804924976,-0.00297278775528,-0.00180122920479,-0.51729401981,0.00542797694684,0.0285125442107,0.0186424078027,0.0103469783214,
DE,0.0100348935799,0.038305620553,-0.801693723754,0.00176921829028,0.00205770650722,4.60526102901e-05,5.41282710266e-05,0.00012779964062,0.00013478058497,-0.0010467503943,-0.014266010495,-0.265019408036,-0.00886051737183,0.038305620553,0.0147180708285,
